rank,title_mal,popularity_score,quality_score,title_parsed,title_at,slug,year,season,synopsis,created_at,updated_at,deleted_at,synonyms,image,id_anime,title_matched,op_counts,ed_counts,total_counts,hardcore
131,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,1073578.0,8.5,jojo no kimyou na bouken part 4: diamond wa kudakenai,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,jojo_no_kimyou_na_bouken_part_4_diamond_wa_kudakenai,2016,Spring,"<i>JoJo no Kimyou na Bouken: Diamond wa Kudakenai</i> adapts the fourth part of the <i>JoJo no Kimyou na Bouken</i> manga series.<br>
<br>
It's the year 1999, 11 years after Jotaro Kujo's desperate fight against Dio in Egypt. Jotaro meets with Josuke Higashikata, the illegitimate son of his grandfather Joseph Joestar. He discovers that Josuke also has the same ""Stand"" power and that a new threat is surfacing in Morioh City.<br>
<br>
(Source: Anime News Network)",2021-03-27T00:43:59.310602Z,2021-03-28T03:39:56.015507Z,,"[""JoJo's Bizarre Adventure: Diamond is Unbreakable""]",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/z9hzJLJfumCBrNjFJ75Ujm8Sqb2TluCPSYmjHVy7.jpg,1336,jojo no kimyou na bouken part 4: diamond wa kudakenai,4,1,5,False
132,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,1066064.0,8.44,jojo no kimyou na bouken part 3: stardust crusaders 2nd season,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,jojo_no_kimyou_na_bouken_part_3_stardust_crusaders_2nd_season,2015,Winter,"After 30 days of travel across the world, plagued with countless battles, Jotaro and his companions have finally arrived in Egypt! Now only the strongest ""Stand"" users remain to rebuff our heroes' final march on Cairo: The Nine Egyptian Gods, Dio's most zealous servants. Will the Joestar line fall to the monstrous vampire, or can Jotaro defeat Dio and save his mother's life?<br>
<br>
(Source: Crunchyroll)",2021-03-27T00:43:59.287058Z,2021-03-28T03:39:42.171161Z,,"[""JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt""]",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/T3UjmfW7hDv5HdQ9oX6H0R7mltRa5nHnGCz9V7uO.jpg,1335,jojo no kimyou na bouken part 3: stardust crusaders 2nd season,1,3,4,False
133,Goblin Slayer,1064211.0,7.42,goblin slayer,Goblin Slayer,goblin_slayer,2018,Fall,"A young priestess has formed her first adventuring party, but almost immediately they find themselves in distress. It's the Goblin Slayer who comes to their rescue--a man who's dedicated his life to the extermination of all goblins, by any means necessary. And when rumors of his feats begin to circulate, there's no telling who might come calling next...<br><br>

(Source: Yen Press)",2021-03-27T00:43:49.211880Z,2021-03-28T02:29:44.020768Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/rI2pmX3nRp4i7K6jVqXvGXsfcU89wLWQlf4A0kOs.jpg,948,goblin slayer,1,3,4,False
134,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,1058853.0,8.34,re:zero kara hajimeru isekai seikatsu 2nd season,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,rezero_kara_hajimeru_isekai_seikatsu_2nd_season,2020,Summer,"The first cour of the second season of <i>Re:Zero kara Hajimeru Isekai Seikatsu</i>.<br><br>Even after dying countless times, Subaru finally ended the threat of the White Whale and defeated the Witch Cult's Sin Archbishop representing sloth, Petelgeuse Romaneeconti. But only shortly after overcoming a tragic ending and reuniting with his beloved Emilia, Subaru learns that Rem has been erased from this world, having fallen victim to the White Whale's Fog of Elimination in the midst of Subaru's death loop. With the White Whale now gone, Subaru and Emilia are forced to confront a reality they never dreamed would happen.<br><br>(Source: Crunchyroll)",2021-03-27T00:44:28.005550Z,2021-03-28T07:03:55.531206Z,,['Re:ZERO -Starting Life in Another World- Season 2'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/fHwdKbEKCkYjyXR9m2cYziLn7am8UBVQ5zX9b5B6.jpg,2362,re:zero kara hajimeru isekai seikatsu 2nd season,1,1,2,False
135,Saiki Kusuo no Ψ-nan,1053887.0,8.41,saiki kusuo no ψ-nan,Saiki Kusuo no Ψ-nan,saiki_kusuo_no_ps_nan,2016,Summer,"To the average person, psychic abilities might seem a blessing; for Kusuo Saiki, however, this couldn't be further from the truth. Gifted with a wide assortment of supernatural abilities ranging from telepathy to x-ray vision, he finds this so-called blessing to be nothing but a curse. As all the inconveniences his powers cause constantly pile up, all Kusuo aims for is an ordinary, hassle-free life—a life where ignorance is bliss.<br><br>


Unfortunately, the life of a psychic is far from quiet. Though Kusuo tries to stay out of the spotlight by keeping his powers a secret from his classmates, he ends up inadvertently attracting the attention of many odd characters, such as the empty-headed Riki Nendou and the delusional Shun Kaidou. Forced to deal with the craziness of the people around him, Kusuo comes to learn that the ordinary life he has been striving for is a lot more difficult to achieve than expected.<br><br>
<i>Note: Aired in 2 versions, a 120-episode 5-minute short series, and a combined 24-episode 24-minute TV series with the same content.</i>",2021-03-27T00:44:30.063340Z,2021-03-28T07:18:00.012885Z,,"['The Disastrous Life of Saiki K.', 'Saiki Kusuo no Psi Nan']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/XufvhmgoeFgG1dK7d0VMr290OMq4HEUUqeaI3yLV.png,2442,saiki kusuo no ψ-nan,2,2,4,False
136,Tonari no Kaibutsu-kun,1048879.0,7.47,tonari no kaibutsu-kun,Tonari no Kaibutsu-kun,tonari_no_kaibutsu_kun,2012,Fall,"Mizutani is a self-absorbed overachiever, concerned only with maintaining the highest grades in school. Haru is an impulsive short tempered brute, who scares everyone with his explosive bursts of violence. Haru gets suspended on the first day of school when he encounters some bullies harassing a student and dispatches the bullies with great bloody violence. Mizutani is tasked with delivering school materials to Haru who interprets this as an act of friendship and latches on to Mizutani, much to her dismay. And so begins a strange and potentially combustible relationship!
<br><br>
(Source: Kodansha USA)",2021-03-27T00:44:44.325300Z,2021-03-28T08:55:42.015855Z,,"['My Little Monster', 'Tonari no Kaibutsukun', 'The Monster Next Door', 'My Neighbor Monster-kun']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/vXM8cQJcUWQV61prjURdfuHifbkteVvqjHoudggu.jpg,2977,tonari no kaibutsu-kun,1,1,2,False
137,Monster,1039799.0,8.87,monster,Monster,monster,2004,Spring,"Dr. Kenzo Tenma is a renowned Japanese brain surgeon working at a leading hospital in Germany. One night, Dr. Tenma risks his reputation and career to save the life of a critically wounded young boy over that of the town mayor who had been planning to support the hospital financially. A string of mysterious murders begin to occur soon after the operation, and Dr. Tenma emerges as the primary suspect despite no incriminating evidence. 
<br><br>
A doctor is taught to believe that all life is equal; however, when another series of murders occur in the surgeon's vicinity, Dr. Tenma's beliefs are shaken as his actions that night are shown to have much broader consequences than he could have imagined. Leaving behind his life as a surgeon he embarks on a journey across the country to unravel the mystery of the boy he saved.",2021-03-27T00:44:17.574232Z,2021-03-28T05:35:07.886381Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/DvxUp0TOUGgnuq8fEADuTSKm6S7i1wwvfWzCaAc1.jpg,1963,monster,1,2,3,False
139,Gintama,1033925.0,8.94,gintama,Gintama,gintama,2006,Spring,"Life isn't easy in feudal Japan... especially since the aliens landed and conquered everything! Oh sure, the new health care is great, but the public ban on the use of swords has left a lot of defeated samurai with a difficult decision to make concerning their future career paths! This is especially true if, as in the case of Gintoki Sakata, they're not particularly inclined towards holding a day job, which is why Gintoki's opted for the freelance route, taking any job that's offered to him as long as the financial remuneration sounds right. Unfortunately, in a brave new world filled with stray bug-eyed monsters, upwardly mobile Yakuza and overly ambitious E.T. entrepreneurs, those jobs usually don't pay as well as they should for the pain, suffering and indignities endured!<br><br>
(Source: Sentai Filmworks)",2021-03-27T00:43:48.461081Z,2021-03-28T02:24:08.121908Z,,"['Gin Tama', 'Silver Soul']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/3tY3OcsdO8ooGlMonGMZyZiIE2YMPErteAZ0c4hg.png,918,gintama,12,20,32,False
140,Mahouka Koukou no Rettousei,1031648.0,7.4,mahouka koukou no rettousei,Mahouka Koukou no Rettousei,mahouka_koukou_no_rettousei,2014,Spring,"Magic is a product of neither legends nor fairy tales, but instead has become a technology of reality since a time unknown to people. Supernatural power became a technology systematized through magic, while magic became a technical skill. A ""Supernatural Power User"" became a ""Magic Technician."" Magic Technicians (in short, Magicians) are nurtured through Magic High Schools and Universities.<br>
<br>
This is a story about: <br>
<br>
Tatsuya, a defective elder brother low achiever.<br>
Miyuki, a perfect, flawless younger sister high achiever.<br>
After both siblings entered a Magic High School,<br>
The stage of daily turbulence was unveiled—.",2021-03-27T00:44:12.534347Z,2021-03-28T05:04:22.008860Z,,['The irregular at magic high school'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/kifmh2QbuMWYTLOFTeIGpVDDngppgGoPRjcqxJSk.jpg,1793,mahouka koukou no rettousei,2,2,4,False
141,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,1028665.0,8.21,yahari ore no seishun love comedy wa machigatteiru. zoku,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,yahari_ore_no_seishun_love_comedy_wa_machigatteiru_zoku,2015,Spring,"The second season of <i>Yahari Ore no Seishun Love Come wa Machigatteiru.</i><br>
<br>
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku picks up immediately after the events of the first season, continuing the adventures of the Volunteer Service Club—the dispassionate Hachiman Hikigaya, the cheerful Yui Yuigahama, and the competitive Yukino Yukinoshita—as it dedicates itself to helping any student with issues that they may face.<br>
<br>
With the rift among his own group widening, Hachiman begins to realize that his knack for quickly getting to the root of other people's troubles is a double-edged sword: sometimes the best solution is not necessarily the most appropriate one.<br>
<br>
(Source: MAL Rewrite)",2021-03-27T00:44:49.022543Z,2021-03-28T09:29:42.354512Z,,"['My Teen Romantic Comedy SNAFU TOO!', 'Oregairu 2', 'My Teen Romantic Comedy SNAFU 2', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Second Season', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. 2nd Season']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/uKdYT139CuxBfiMS3lrUdIDG6ZIEaAbKlxyrzvLq.png,3162,yahari ore no seishun love comedy wa machigatteiru. zoku,1,3,4,False
142,K-On!,1024279.0,7.85,k-on!,K-On!,k_on,2009,Spring,"Hirasawa Yui, a young, carefree girl entering high school, has her imagination instantly captured when she sees a poster advertising the ‘Light Music Club’. Being the carefree girl that she is, she quickly signs up. However, Yui has a problem, she is unable to play an instrument.<br><br>
When Yui goes to the clubroom to explain, she's greeted by the other members: Ritsu, Mio and Tsumugi. Although disheartened at Yui’s lack of musical know-how, they still try to convince her to stay to prevent the club’s disbandment. After playing Yui a short piece which re-ignites her imagination, they succeed in keeping their new member and guitarist.<br><br>
Along with the tasks of school and homework, Yui begins to learn the guitar with the help of the other band members, experiencing many mishaps along the way. However, with the school-festival drawing near and Yui getting stuck with her practice, will the Light Music Club be ready in time for their debut?<br><br>
[Written by MAL Rewrite]",2021-03-27T00:44:00.217537Z,2021-03-28T03:46:10.027100Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/Ysrql602quYqqsFYOt3RT8Kt05Cu5QBybXIZ7Eo1.png,1367,k-on!,2,1,3,False
144,Magi: The Labyrinth of Magic,1016832.0,8.02,magi: the labyrinth of magic,Magi: The Labyrinth of Magic,magi_the_labyrinth_of_magic,2012,Fall,"This story is about the flow of fate and the battle to keep the world on the right path. Aladdin is a boy who has set out to explore the world after being trapped in a room for most of his life. His best friend is a flute with a djinn in it named Ugo. Soon enough, Aladdin discovers he is a Magi, a magician who chooses kings, and he was born to choose kings who will follow the righteous path, battling against those who want to destroy fate. Follow his adventures as he meets others from 1001 Arabian Nights, like Ali Baba and Sinbad, and fights to keep the balance of the world in check!",2021-03-27T00:44:11.326903Z,2021-03-28T04:55:51.363766Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/BpLZR3ClJcpBgYpwO5GB8Pz7O7HOCziQqCYOWHuO.png,1749,magi: the labyrinth of magic,2,2,4,False
145,Sword Art Online: Alicization,1006257.0,7.56,sword art online: alicization,Sword Art Online: Alicization,sword_art_online_alicization,2018,Fall,"The third season of <i>Sword Art Online</i>.<br><br>
Kirito awakens in a vast, fantastical forest filled with towering trees. In his search for clues to the truth of his surroundings, he encounters a young boy who seems to know him. He ought to be a simple NPC, but the depth of his emotions seem no different than a human. As they search for the boy's parents, Kirito finds a peculiar memory returning to him. A memory from his own childhood, of this boy and a girl, too, with golden hair, and a name he should have never forgotten - Alice.<br>
<br>
(Source: Yen Press)
<br><br>
<i>Note: The first episode aired with a runtime of ~48 minutes as opposed to the standard 24 minute long episode.</i>",2021-03-27T00:44:39.826104Z,2021-03-28T08:23:49.576276Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/LKl0BaiQk0KuKq6TGZzFLoq5sOUFlCk8TYP48KKG.jpg,2802,sword art online: alicization,2,3,5,False
146,Golden Time,1004195.0,7.74,golden time,Golden Time,golden_time,2013,Fall,"Due to a tragic accident, Banri Tada is struck with amnesia, dissolving the memories of his hometown and past. However, after befriending Mitsuo Yanagisawa, he decides to move on and begin a new life at law school in Tokyo. But just as he is beginning to adjust to his college life, the beautiful Kouko Kaga dramatically barges into Banri's life, and their chance meeting marks the beginning of an unforgettable year.<br>
<br>
After having a glimpse of college life, Banri learns that he is in a new place and a new world—a place where he can be reborn, to have new friends, fall in love, makes mistakes and grow. And as he begins to discover who he was, the path he has chosen leads him towards a blindingly bright life that he will never want to forget.
",2021-03-27T00:43:49.598250Z,2021-03-28T02:32:48.833141Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/fkTMR0BaYuJ3KRcbwXLV6A9nvEIA0LhKCNj7WUUR.jpg,964,golden time,2,2,4,False
147,ReLIFE,1002583.0,7.97,relife,ReLIFE,relife,2016,Summer,"The story follows Kaizaki Arata, a 27-year-old jobless man, who fails at every job interview he had after quitting his last company. His life changes after he met Yoake Ryou of the ReLife Research Institute, who offered him a drug that can change his appearance to 17-years-old and to become a subject in an experiment for one year. Thus, he begins his life as a high school student once more.
",2021-03-27T00:44:28.393965Z,2021-03-28T07:06:18.346597Z,,['Re LIFE'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/YUgrl10j3EYHMbspkr0OQdrmVcBNhij2iV2uTwwI.png,2376,relife,1,13,14,False
148,Dragon Ball,1001978.0,7.96,dragon ball,Dragon Ball,dragon_ball,1986,Winter,"Dragon Ball follows the adventures of the protagonist Son Goku, a strong naive boy who, upon meeting Bulma, sets out to gather the seven wish-granting Dragon Balls. After becoming a student of martial arts master Muten Roshi (also known as Kame Sennin), he and his fellow pupil Kuririn enter a tournament that attracts the most powerful fighters in the world.<br><br>

(Source: Wikipedia)",2021-03-27T00:43:41.865474Z,2021-03-28T01:36:47.029576Z,,['Dragonball'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/zj3n5YkMPBwTKuz4XVnrcrPE3k8ipZxpBJ4hAvUO.png,654,dragon ball,2,2,4,False
149,Date A Live,1001169.0,7.16,date a live,Date A Live,date_a_live,2013,Spring,"Thirty years before a strange phenomena called a ""spacequake"" devastated the center of Eurasia, claiming the lives of at least 150 million people. Since then, smaller spacequakes plague the world on a irregular basis. Shidou Itsuka, a seemingly ordinary high schooler comes across a mysterious girl at the ground zero of a spacequake and learns from his sister Kotori she is one of the ""Spirits"" who are the real cause of the spacequakes that occur when they manifest themselves in the world. He also learns that Kotori is the captain of the airship Ratatoskr and recruits him to make use of his mysterious ability to seal the Spirits' powers and stop them from being a threat to mankind. However, there is a catch: to seal a Spirit, he must make her fall in love with him.<br>
<br>
(Source: Anime News Network)",2021-03-27T00:43:39.850750Z,2021-03-28T01:22:20.595200Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/BCSD16CxuuhIhwwxPu5vqbRFaJjleCKwQPwavco5.png,573,date a live,1,4,5,False
150,Prison School,982791.0,7.61,prison school,Prison School,prison_school,2015,Summer,"Hachimitsu Private Academy was a revered and elite all-girls' boarding school on the outskirts of Tokyo...once upon a time. But with the new school year comes a revision to school policy: Boys are to be admitted into the student body for the first time ever. But on his first day at Hachimitsu, Kiyoshi Fujino discovers that he's one of only five boys enrolled at the school. Their numbers overwhelmed by the thousand girls in the student body, is it heaven or hell that awaits these five (un)fortunates?!.<br>
<br>
(Source: Anime News Network)",2021-03-27T00:44:26.802906Z,2021-03-28T06:38:52.886833Z,,['Kangoku Gakuen'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/CNtSGzjpPXYtBCOtb2vNMSp5tKAyhWAh5OTJwCpL.jpg,2312,prison school,1,1,2,False
151,Dr. Stone: Stone Wars,982602.0,8.17,dr. stone: stone wars,Dr. Stone: Stone Wars,dr_stone_stone_wars,2021,Winter,"The second season of <i>Dr. STONE</i><br>
<br>
Now as he sets down blueprints for a smartphone in the stone world, Tsukasa and his Empire of Might prepare for the upcoming war. Who will be the victor in the fight for humanity?<br>
<br>
(Source: Funimation)",2021-03-27T00:43:41.839737Z,2021-03-28T01:36:31.305290Z,,['Dr. STONE Season 2'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/O0jMdKSG6jTtKNjwPbLa4uvcHIYW1pmCoUEWGkCw.jpg,653,dr. stone: stone wars,1,1,2,False
152,Overlord II,980531.0,7.76,overlord ii,Overlord II,overlord_ii,2018,Winter,"The second season of <i>Overlord</i>.<br><br>
Continuing his quest to rule this new world, Ains begins to put the pieces in place for his conquest. But between a Lizard Man tribe uprising, and performing missions as adamantite adventurer Lord Momon, Ains has his work cut out for him! Thankfully he has his most loyal and willing subordinates to do his bidding. Nothing and no one can stop the supreme and mighty Overlord in his quest to rule all!
<br><br>(Source: Manga Entertainment)",2021-03-27T00:44:24.333964Z,2021-03-28T06:20:52.547467Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/MOlA339EulgSV8LZ2wPa8oHyTFSSJ2O6H4MUMVME.jpg,2211,overlord ii,1,2,3,False
153,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,974935.0,8.58,jojo no kimyou na bouken part 5: ougon no kaze,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,jojo_no_kimyou_na_bouken_part_5_ougon_no_kaze,2018,Fall,"The fifth story arc of the long-running <i>JoJo's Bizarre Adventure</i> series.<br><br>
Giorno Giovanna, a young man living in Naples, has the blood of DIO -- the eternal enemy of the Joestar clan -- running in his veins. Giorno becomes a delinquent due to being persecuted since childhood. However, he's led back onto the right path thanks to a gangster who saved him and taught him to believe in others. Bizarrely enough, this gang of people who didn't forget honor, gratitude, and respect made him reform. This is how Giorno came to admire gangsters. In the backstreets of Italy, Giorno causes trouble alongside his gang ""Passione,"" and ends up being targeted...<br><br>
(Source: Anime News Network)",2021-03-27T00:43:59.336532Z,2021-03-28T03:40:01.866724Z,,"[""JoJo's Bizarre Adventure: Golden Wind""]",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/uU6OUgtqqMSvU5irUBXgfYc0OcZ7hToNSV4EwD3Z.png,1337,jojo no kimyou na bouken part 5: ougon no kaze,2,2,4,False
154,Black Lagoon,972583.0,8.03,black lagoon,Black Lagoon,black_lagoon,2006,Spring,"Okajima Rokuro is a Japanese businessman in a town full of Japanese businessmen. His normal day consists of social drinking with clients and being kicked around by his bosses. He finally gets a break though, as he's sent by his company to the tropical seas of Eastern China to deliver a disc. But his boat gets hijacked by a band of mercenaries hired to retrieve the disc. Rock (as he is newly dubbed by his captors) catches the interest of the only female merc Revy as she thinks he's worth a ransom, taking him hostage. However, the disc that was stolen has a terrible secret that's unknown to Rock, which causes massive confusion and chaos for both him and his kidnappers.",2021-03-27T00:43:33.222573Z,2021-03-28T00:36:11.043836Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/HvzouQMAVfz8Ef3N8BZmqXhAyD9PYXaYssyvCvJW.png,311,black lagoon,1,1,2,False
155,Sono Bisque Doll wa Koi wo Suru,969493.0,8.22,sono bisque doll wa koi wo suru,Sono Bisque Doll wa Koi wo Suru,sono_bisque_doll_wa_koi_wo_suru,2022,Winter,"High schooler Wakana Gojou cares about one thing: making Hina dolls. With nobody to share his obsession, he has trouble finding friends—or even holding conversation. But after the school’s most popular girl, Marin Kitagawa, reveals a secret of her own, he discovers a new purpose for his sewing skills. Together, they’ll make her cosplay dreams come true! <br>
<br>
(Source: Funimation)",2022-01-09T08:09:03.740773Z,2022-01-09T09:05:22.483790Z,,['My Dress-Up Darling'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/Fj6bLgEzswhRFqujLVFzmR17xZGc0frATByhY3yv.jpg,3627,sono bisque doll wa koi wo suru,1,1,2,False
158,Shokugeki no Souma: San no Sara,946466.0,8.0,shokugeki no souma: san no sara,Shokugeki no Souma: San no Sara,shokugeki_no_souma_san_no_sara,2017,Fall,"The third season of <i>Shokugeki no Souma</i>.<br>
<br>
At the Moon Festival, Totsuki Academy’s annual gourmet jubilee, students wage fierce culinary war as they try to out-earn their peers by selling the most of their chosen cuisine. Souma Yukihira, however, has his sights set on a grander prize: challenging the Elite Ten, who rule over the academy with iron fists. But Souma might have to put his grand ambitions on hold for the time being, because an insidious scheme to upset the balance of Totsuki Academy has begun to emerge from the shadows…<br>
<br>
(Source: Sentai Filmworks)",2021-03-27T00:44:35.826302Z,2021-03-28T07:55:44.036767Z,,"['Shokugeki no Souma 3rd Season', 'Shokugeki no Soma 3', 'Food Wars! The Third Plate']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/2mDC3hupsGanpgyTs8uzoXnSwp1TDXkl4JRrTlcD.jpg,2650,shokugeki no souma: san no sara,1,1,2,False
159,Wotaku ni Koi wa Muzukashii,942653.0,7.94,wotaku ni koi wa muzukashii,Wotaku ni Koi wa Muzukashii,wotaku_ni_koi_wa_muzukashii,2018,Spring,"The story centers on the awkward romantic comedy between Narumi, a female office worker who hides her fujoshi lifestyle, and Hirotaka, a handsome and capable company man who is secretly a game otaku.
<br><br>
(Source: Anime News Network)",2021-03-27T00:44:48.749669Z,2021-03-28T09:27:34.115105Z,,"[""It's Difficult to Love an Otaku"", 'WotaKoi', 'Love is Hard for Otaku']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/MegVzngYjZBACKe6kZxoxpLuLpcGQOLHEpVuwTLd.png,3151,wotaku ni koi wa muzukashii,1,2,3,False
160,"Kanojo, Okarishimasu",940998.0,7.04,"kanojo, okarishimasu","Kanojo, Okarishimasu",kanojo_okarishimasu,2020,Summer,"In today’s Japan, “rental” services can deliver an afternoon with a “friend,” a “parent,” even a fake girlfriend! After a staggering betrayal by his girlfriend, hapless freshman Kazuya gets just desperate enough to give it a try. But he quickly discovers how complicated it can be to “rent” an emotional connection, and his new “girlfriend,” who’s trying to keep her side hustle secret, will panic when she finds out her real life and Kazuya’s are intertwined in surprising ways! Family, school, and life all start to go wrong, too…
<br><br>
(Source: Kodansha USA)",2021-03-27T00:44:02.507924Z,2021-03-28T03:58:45.925930Z,,"['Rent-a-Girlfriend', 'KanoKari']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/TibxJEGY0NgS1hgqmrKLFhMxoaNDZbNHzdOjaFGE.jpg,1437,"kanojo, okarishimasu",1,3,4,False
161,Darker than Black: Kuro no Keiyakusha,924864.0,8.06,darker than black: kuro no keiyakusha,Darker than Black: Kuro no Keiyakusha,darker_than_black_kuro_no_keiyakusha,2007,Spring,"In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is one of the most powerful of these psychic agents, and along with his blind associate, Yin, works for one of the many rival agencies vying to unlock the mysteries of Hell's Gate.
<br><br>
(Source: Anime News Network)",2021-03-27T00:43:39.698477Z,2021-03-28T01:21:12.804003Z,,"['Darker than Black', 'DTB']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/3aH1EYY4F0jVppljgX1x80A0V05kbTFZRZ8jCSnb.png,567,darker than black: kuro no keiyakusha,2,2,4,False
162,Fate/stay night,921921.0,7.28,fate/stay night,Fate/stay night,fatestay_night,2006,Winter,"Raised by a mysterious sorcerer after the death of his parents in a catastrophic fire, Shirou Emiya has only just begun to learn small tidbits of magic. When he is caught in a battle between two powerful Magi, however, he ends up performing a spell above his expected ability, accidentally summoning a beautiful woman knight to protect him. 
<br><br>
Shirou is thus unwillingly thrust into the competition known as the Holy Grail War where Seven Magi called Masters, together with their spirit partners called Servants, fight to acquire a powerful artifact said to grant every wish. 
",2021-03-27T00:43:44.319319Z,2021-03-28T01:53:40.559743Z,,[],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/G8ZwO1epSjjfs9xBOOftnvE1CtpdnlhEtyaH6Dp8.png,749,fate/stay night,2,3,5,False
163,Rakudai Kishi no Cavalry,920145.0,7.44,rakudai kishi no cavalry,Rakudai Kishi no Cavalry,rakudai_kishi_no_cavalry,2015,Fall,"The ""school sword action"" story revolves around Magic Knights, modern magic-users who fight with weapons converted from their souls. Ikki Kurogane goes to a school for these Magic Knights, but he is the ""Failed Knight"" or ""Worst One"" who is failing because he has no magical skills. However, one day, he is challenged to a duel by Stella, a foreign princess and the ""Number One"" student. In this duel, ""the loser must be obedient for life.""<br>
<br>
(Source: Anime News Network)",2021-03-27T00:44:27.689906Z,2021-03-28T07:01:35.464469Z,,"['Chivalry of a Failed Knight', 'A Chivalry of the Failed Knight', 'Rakudai Kishi no Eiyuutan', 'A Tale of Worst One']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/g0GR7Na46wO6alV2DnyPKBG9SHeL8oUchPs2GtlU.jpg,2349,rakudai kishi no cavalry,1,1,2,False
165,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,916559.0,7.21,danganronpa: kibou no gakuen to zetsubou no koukousei the animation,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,danganronpa_kibou_no_gakuen_to_zetsubou_no_koukousei_the_animation,2013,Summer,"A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating is very difficult. The school is presided over by a bear called Monokuma, and he explains to them that their graduation hinges around committing a murder. The only way to graduate is to kill one of your classmates and get away with it. If the other classmates discover the identity of the killer, the killer is the only one executed. However, if they fail to catch the killer, only the killer graduates and the others are annihilated. Which of the 15 will survive the bloodbath to come?
",2021-03-27T00:43:39.548268Z,2021-03-28T01:20:13.212731Z,,"['Danganronpa: The Animation', 'Dangan Ronpa: The Animation']",https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/pK6H3SWLvwr81JfANG3eFBDpHDZSMpJht1tctGAZ.jpg,561,danganronpa: kibou no gakuen to zetsubou no koukousei the animation,2,2,4,False
166,Plastic Memories,914780.0,7.91,plastic memories,Plastic Memories,plastic_memories,2015,Spring,"This story takes place in a future not too far away when androids that look exactly like humans begin to spread across the world. The android production company SA Corp. produced Giftia, a new kind of android that has the most amount of emotion and human-like qualities out of any other model ever seen. However, due to problems in technology, the androids have a service life, and once they pass that, they... Well, it gets pretty bad. For this reason, SA Corp. creates a terminal service in order to retrieve Giftia that have gone past their service life. A new employee at the terminal service named Tsukasa Mizugaki forms a team with the Giftia Isla to retrieve the other androids, but...<br>
<br>
(Source: Anime News Network)",2021-03-27T00:44:25.741991Z,2021-03-28T06:30:54.410228Z,,['Plamemo'],https://pub-92474f7785774e91a790e086dfa6b2ef.r2.dev/U6uIC9jDQopH8X5c5mZAnggYoAKMPGwYk1ZPPCcD.jpg,2268,plastic memories,1,1,2,False
